,event_id,rock_muon_id,length,x_start,y_start,z_start,x_end,y_end,z_end,avg_distance,theta_xz,theta_yz,theta_z
0,0,1,134.94174210869636,-46.92788801410704,-52.18263626098633,64.34400939941406,-6.278764685847133,-50.32590103149414,-64.31629943847656,0.3500108444583882,90.93844657934568,107.75412577850648,17.780570266130653
1,1,2,128.72802915057298,25.228655649018524,49.88249969482422,64.31629943847656,26.10670451420338,54.7598991394043,-64.31629943847656,0.7375426569819378,87.78203713862474,88.99139692582368,177.56326929016598
2,2,3,128.69232606099962,55.836092864527956,-38.79750061035156,64.31629943847656,59.33232380044585,-37.02389907836914,-64.31629943847656,0.4721664064581101,90.3763057777892,91.7053774217404,1.7464254521477514
3,5,4,128.757664220911,-27.016682429031324,2.9098124504089355,64.34400939941406,-23.456593393827262,6.429299831390381,-64.31629943847656,0.45288103003401786,91.36773187916688,91.32263097160524,1.902815833360054
4,6,5,128.77546456842714,21.014021096131206,56.0900993347168,64.31629943847656,19.130207167189145,61.85430145263672,-64.31629943847656,0.5155240902949063,92.12358313059029,89.10433310617633,2.3048990709035735
5,11,6,128.84982725454486,40.302610213166744,-24.608699798583984,64.31629943847656,33.49827950657773,-21.504899978637695,-64.31629943847656,1.0252292497397086,91.84917868547737,85.81983470453982,4.572243866517133
6,11,7,129.12428322593098,39.648064695483484,-52.54290008544922,64.31629943847656,34.0285519583004,-42.78810119628906,-64.31629943847656,0.47173058395018075,85.60380445149546,92.89740116490648,174.7317414970258
7,19,8,128.79718263389384,40.398397362096006,-15.740699768066406,64.31629943847656,36.087975660279426,-10.863300323486328,-64.31629943847656,0.45376105557597723,92.1910603292537,88.10696539865052,2.896173901441835
8,20,9,129.66169641249869,-25.595839719914007,51.01871109008789,64.34400939941406,-40.350503787631375,57.4202995300293,-64.31629943847656,0.4952279612670768,92.81448436230167,83.3642024314959,7.21293932405379
9,20,10,124.19465584891557,54.00017251005053,-26.825700759887695,64.31629943847656,63.467135729225454,-45.44850158691406,-58.108699798583984,0.42587912781526144,81.45288265313215,94.65997364154342,9.751673285587348
10,21,11,127.82493018798833,6.055261338345533,23.278499603271484,64.31629943847656,5.304928671733018,27.712499618530273,-63.429500579833984,0.5256195872437036,91.91048608697845,89.68428067012498,1.9364167185133425
11,21,12,131.8988846289803,-18.60337784807823,-54.12251281738281,64.34400939941406,-13.670339678221483,-25.495500564575195,-64.31629943847656,0.3728774275436908,102.16931365684398,92.20392858320213,12.373310713839459
12,26,13,128.26893402207614,58.342523261510195,5.985899925231934,64.31629943847656,61.631215374748024,9.089699745178223,-63.87289810180664,0.44443453352083695,91.27803686394364,91.34437184538717,1.8550778090081348
13,31,14,129.85098851600773,39.71192279476966,-2.8821001052856445,64.31629943847656,39.105270851551026,14.853899955749512,-64.31629943847656,0.6757667569085745,97.59663048443628,89.27763398329824,7.63130222952588
14,35,15,129.0060446780509,-19.641071961478517,-12.997162818908691,64.34400939941406,-23.72799031579349,-21.504899978637695,-64.31629943847656,0.3075666381805735,86.17260382384943,88.31124482711918,4.184418805999458
15,35,16,128.9601542634527,43.367798978902975,-21.948299407958984,64.31629943847656,45.762477702134404,-13.080300331115723,-64.31629943847656,0.33496280691486263,86.07989417820595,88.70775715746744,175.87176246021968
16,38,17,128.76586599118468,-50.2644737018095,-60.33011245727539,64.34400939941406,-46.27334249642378,-56.976898193359375,-64.31629943847656,0.32958692843913767,91.46031819286603,91.7094578530851,2.248564391832008
17,38,18,130.1766367858563,-38.69019320619091,-61.10606384277344,64.34400939941406,-19.14617169201069,-57.86370086669922,-64.31629943847656,0.5607851692562773,91.39211113861873,98.72284550216233,8.834946966714336
18,44,19,128.96936700335564,51.669351886105275,21.061500549316406,64.31629943847656,51.44584853860367,11.750100135803223,-64.31629943847656,0.5167230658963139,85.66653235188885,89.72527122985377,4.342200635880429
19,49,20,102.44300286727007,-62.74873211225602,-56.83833694458008,37.57373809814453,-53.23387531861647,-52.0994987487793,-64.31629943847656,0.3719237844257661,92.38211228999435,95.28209138363236,5.797176377972826
20,49,21,129.59682819800875,-44.54917381569715,-21.532611846923828,64.34400939941406,-58.37445231115328,-14.410499572753906,-64.31629943847656,0.4245236440551969,93.41482812737966,83.89144757281161,7.004601934275749
21,49,22,131.59955242475192,-33.964693859014226,-12.609187126159668,64.34400939941406,-15.314685734840399,-33.03329849243164,-64.31629943847656,0.4041934326890899,81.00044733892344,98.73157839737618,12.590280296757177
22,57,23,128.7691754927066,37.62057004314754,51.21269989013672,64.31629943847656,39.00948370262177,56.976898193359375,-64.31629943847656,0.3669956558970562,92.45023746614737,90.96128480687219,2.6322727571450404
23,60,24,128.83638891993292,-15.26679216037577,9.117412567138672,64.34400939941406,-14.05348827393851,15.740699768066406,-64.31629943847656,0.28146651473919865,86.96610333472941,89.44939627150112,176.9164531955266
24,61,25,133.08704205142433,-24.22289058526132,57.614288330078125,64.34400939941406,-21.061914670595833,23.721900939941406,-64.31629943847656,0.3261654894846398,74.99143962983668,91.4881857600827,15.085631166558077
25,64,26,114.88958929763595,55.580660467383275,47.66550064086914,64.31629943847656,57.06536127578676,61.85430145263672,-49.68410110473633,0.5251607103600429,97.0087541091186,91.0731840912076,7.091257308384508
26,66,27,113.07261823345792,-32.76735449739851,-8.729437828063965,64.34400939941406,-62.15804469385894,26.382299423217773,-39.04249954223633,0.37412710521687426,108.31852223422754,75.01849945660614,24.01351596239556
27,74,28,129.05398519858767,-21.04595014577429,34.33578872680664,64.34400939941406,-11.32355452945468,31.703100204467773,-64.31629943847656,0.33880725355536234,88.69922420053128,94.37009354999772,4.560297903840256
28,74,29,128.97018506840197,32.1093658471035,-26.382299423217773,64.31629943847656,31.59850105281413,-35.69369888305664,-64.31629943847656,0.4078002702870364,85.84076835038846,89.8488342771689,4.161987441952657
29,74,30,129.75623582451723,-20.024220557195545,-48.690860748291016,64.34400939941406,-31.534642953527957,-60.967498779296875,-64.31629943847656,0.2683372043297547,84.46199807399259,84.99670240390286,7.473928756873801
30,77,31,129.60029287667575,58.21480706293785,-45.44850158691406,64.31629943847656,37.2693504970736,-39.24089813232422,-63.429500579833984,0.33338975576669705,92.80061073198561,80.86329367013194,9.563343549505724
31,81,32,117.7332480362009,-51.956713332893045,52.18263626098633,64.34400939941406,-62.541193289575965,46.77870178222656,-52.787899017333984,0.33290667844896965,87.3424205593116,84.86018216092204,5.789518784490723
32,83,33,128.96424285306077,8.88098223175862,-34.80690002441406,64.31629943847656,13.54262347964914,-26.825700759887695,-64.31629943847656,0.862025672860545,94.00989868234741,92.31175818441712,4.630444628503247
33,83,34,130.21713367449703,-43.064473007293664,43.647186279296875,64.34400939941406,-26.058810939738752,54.31650161743164,-64.31629943847656,0.619182856095855,94.7790670372112,97.53730189814112,8.939626588161781
34,85,35,129.81457070045846,35.84850778795628,11.750100135803223,64.31629943847656,38.3868672345816,29.042699813842773,-64.31629943847656,0.4111103955655169,97.5505156565094,91.17529844960237,7.64249561843659
35,85,36,130.7156205841054,-15.314685734840399,16.87691307067871,64.34400939941406,-36.55094688010417,25.938899993896484,-64.31629943847656,0.5494889985072977,94.01533466095337,80.30852968210951,10.505233362280215
36,86,37,128.71535297856775,-36.678663078676514,38.603511810302734,64.34400939941406,-40.09507139048669,37.02389907836914,-64.31629943847656,0.2947640888427265,89.408246554387,88.62816648191844,1.4940660000421577
37,87,38,128.658345412517,57.91148109132853,51.65610122680664,64.31629943847656,48.07733380125812,56.53350067138672,-63.87289810180664,0.3922816121077294,92.14462129925992,85.86626611151237,4.658665727999831
38,87,39,129.61300571030347,49.05116981537224,-2.438699960708618,64.31629943847656,60.88088270813551,8.202899932861328,-64.31629943847656,0.35730230853137984,94.68861648371394,95.30865994381004,7.091664945164591
39,88,40,129.2753255954948,33.641960229971616,21.948299407958984,63.87289810180664,16.943067266637772,22.835100173950195,-64.31629943847656,0.3776096525830622,90.49340403306208,82.46264999233577,7.5536695938441625
40,89,41,129.07158571243065,14.947501663944912,30.372900009155273,64.31629943847656,6.310693735490219,24.165300369262695,-64.31629943847656,0.5964006675795084,87.07317452956656,86.06881990094266,4.903821063833398
41,94,42,129.04034651101344,-25.931094741166408,26.964262008666992,64.34400939941406,-26.17056261348955,17.070899963378906,-64.31629943847656,0.34625761524242155,85.60268208580574,89.67983678706537,4.409003623438155
42,97,43,101.42096348521449,-32.364798244248185,55.28643798828125,64.34400939941406,-29.571006400478183,61.85430145263672,-36.82550048828125,0.4296572899450866,85.9810448533158,88.15112439835221,175.57489149102602
